r_m c_kg_per_m3 X_kg_per_kg
0.000000000000000000e+00 1.194176288953536869e+01 1.000000002186565817e+00
1.000000000000000082e-05 1.194176288938018082e+01 1.000000002173229818e+00
2.000000000000000164e-05 1.194176288860965940e+01 1.000000002107832131e+00
3.000000000000000415e-05 1.194176288771051908e+01 1.000000002032183311e+00
4.000000000000000327e-05 1.194176288654238149e+01 1.000000001935828386e+00
5.000000000000000240e-05 1.194176288512895745e+01 1.000000001822224371e+00
6.000000000000000830e-05 1.194176288349755488e+01 1.000000001695239504e+00
7.000000000000000742e-05 1.194176288167795263e+01 1.000000001558921436e+00
8.000000000000000654e-05 1.194176287970125649e+01 1.000000001417280515e+00
9.000000000000000567e-05 1.194176287759880495e+01 1.000000001274094386e+00
1.000000000000000048e-04 1.194176287540120107e+01 1.000000001132756999e+00
1.100000000000000039e-04 1.194176287313744922e+01 1.000000000996169147e+00
1.200000000000000166e-04 1.194176287083430488e+01 1.000000000866676952e+00
1.300000000000000157e-04 1.194176286851577373e+01 1.000000000746052331e+00
1.400000000000000148e-04 1.194176286620280081e+01 1.000000000635508091e+00
1.500000000000000140e-04 1.194176286391315323e+01 1.000000000535742117e+00
1.600000000000000131e-04 1.194176286166139178e+01 1.000000000446999993e+00
1.700000000000000122e-04 1.194176285945900062e+01 1.000000000369150044e+00
1.800000000000000113e-04 1.194176285731459330e+01 1.000000000301758840e+00
1.900000000000000105e-04 1.194176285523418635e+01 1.000000000244168241e+00
2.000000000000000096e-04 1.194176285322150832e+01 1.000000000195566674e+00
2.100000000000000087e-04 1.194176285127832493e+01 1.000000000155052193e+00
2.200000000000000078e-04 1.194176284940478538e+01 1.000000000121683552e+00
2.300000000000000070e-04 1.194176284759971374e+01 1.000000000094526165e+00
2.400000000000000332e-04 1.194176284586091619e+01 1.000000000072681638e+00
2.500000000000000052e-04 1.194176284418545642e+01 1.000000000055314864e+00
2.600000000000000314e-04 1.194176284256986520e+01 1.000000000041666670e+00
2.700000000000000035e-04 1.194176284101035357e+01 1.000000000031063818e+00
2.800000000000000297e-04 1.194176283950296558e+01 1.000000000022920776e+00
2.900000000000000017e-04 1.194176283804371153e+01 1.000000000016737722e+00
3.000000000000000279e-04 1.194176283662866567e+01 1.000000000012096102e+00
3.099999999999999999e-04 1.194176283525404614e+01 1.000000000008651080e+00
3.200000000000000262e-04 1.194176283391626470e+01 1.000000000006122880e+00
3.300000000000000524e-04 1.194176283261195515e+01 1.000000000004288347e+00
3.400000000000000244e-04 1.194176283133799465e+01 1.000000000002972289e+00
3.500000000000000507e-04 1.194176283009152328e+01 1.000000000002038592e+00
3.600000000000000227e-04 1.194176282886991913e+01 1.000000000001383560e+00
3.700000000000000489e-04 1.194176282767081432e+01 1.000000000000929257e+00
3.800000000000000209e-04 1.194176282649206833e+01 1.000000000000617506e+00
3.900000000000000471e-04 1.194176282533175559e+01 1.000000000000406120e+00
4.000000000000000192e-04 1.194176282418815660e+01 1.000000000000264011e+00
4.100000000000000454e-04 1.194176282305973302e+01 1.000000000000170086e+00
4.200000000000000174e-04 1.194176282194511352e+01 1.000000000000108358e+00
4.300000000000000436e-04 1.194176282084308482e+01 1.000000000000068390e+00
4.400000000000000157e-04 1.194176281975256515e+01 1.000000000000042855e+00
4.500000000000000419e-04 1.194176281867260414e+01 1.000000000000026423e+00
4.600000000000000139e-04 1.194176281760236513e+01 1.000000000000015987e+00
4.700000000000000401e-04 1.194176281654109850e+01 1.000000000000009770e+00
4.800000000000000664e-04 1.194176281548816299e+01 1.000000000000005773e+00
4.900000000000000926e-04 1.194176281444299192e+01 1.000000000000003109e+00
5.000000000000000104e-04 1.194176281340508794e+01 1.000000000000001998e+00
5.100000000000000366e-04 1.194176281237402826e+01 1.000000000000001110e+00
5.200000000000000629e-04 1.194176281134943984e+01 1.000000000000000666e+00
5.300000000000000891e-04 1.194176281033101539e+01 1.000000000000000222e+00
5.400000000000000069e-04 1.194176280931848666e+01 1.000000000000000444e+00
5.500000000000000331e-04 1.194176280831163339e+01 1.000000000000000000e+00
5.600000000000000594e-04 1.194176280731027973e+01 1.000000000000000222e+00
5.700000000000000856e-04 1.194176280631427822e+01 1.000000000000000222e+00
5.800000000000000034e-04 1.194176280532351697e+01 1.000000000000000222e+00
5.900000000000000296e-04 1.194176280433791604e+01 1.000000000000000222e+00
6.000000000000000559e-04 1.194176280335741858e+01 9.999999999999998890e-01
6.100000000000000821e-04 1.194176280238200150e+01 1.000000000000000000e+00
6.199999999999999999e-04 1.194176280141164526e+01 1.000000000000000000e+00
6.300000000000000261e-04 1.194176280044637117e+01 1.000000000000000000e+00
6.400000000000000524e-04 1.194176279948621122e+01 1.000000000000000000e+00
6.500000000000000786e-04 1.194176279853120981e+01 1.000000000000000000e+00
6.600000000000001048e-04 1.194176279758142911e+01 1.000000000000000000e+00
6.700000000000000226e-04 1.194176279663694906e+01 1.000000000000000000e+00
6.800000000000000488e-04 1.194176279569786026e+01 1.000000000000000000e+00
6.900000000000000751e-04 1.194176279476425506e+01 9.999999999999998890e-01
7.000000000000001013e-04 1.194176279383625250e+01 1.000000000000000000e+00
7.100000000000000191e-04 1.194176279291396447e+01 1.000000000000000000e+00
7.200000000000000453e-04 1.194176279199752777e+01 1.000000000000000000e+00
7.300000000000000716e-04 1.194176279108707028e+01 1.000000000000000000e+00
7.400000000000000978e-04 1.194176279018273590e+01 1.000000000000000000e+00
7.500000000000000156e-04 1.194176278928467738e+01 1.000000000000000222e+00
7.600000000000000418e-04 1.194176278839303684e+01 1.000000000000000222e+00
7.700000000000000681e-04 1.194176278750797771e+01 1.000000000000000000e+00
7.800000000000000943e-04 1.194176278662965807e+01 1.000000000000000222e+00
7.900000000000000121e-04 1.194176278575824668e+01 1.000000000000000000e+00
8.000000000000000383e-04 1.194176278489390164e+01 1.000000000000000222e+00
8.100000000000000646e-04 1.194176278403680236e+01 1.000000000000000000e+00
8.200000000000000908e-04 1.194176278318711226e+01 1.000000000000000222e+00
8.300000000000001170e-04 1.194176278234500188e+01 1.000000000000000222e+00
8.400000000000000348e-04 1.194176278151064707e+01 1.000000000000000222e+00
8.500000000000000611e-04 1.194176278068422370e+01 1.000000000000000222e+00
8.600000000000000873e-04 1.194176277986590051e+01 1.000000000000000222e+00
8.700000000000001135e-04 1.194176277905585337e+01 1.000000000000000222e+00
8.800000000000000313e-04 1.194176277825425458e+01 1.000000000000000000e+00
8.900000000000000576e-04 1.194176277746127290e+01 1.000000000000000000e+00
9.000000000000000838e-04 1.194176277667708419e+01 1.000000000000000000e+00
