r_m c_kg_per_m3 X_kg_per_kg
9.100000000000001100e-04 1.194176277590185897e+01 1.000000000000000000e+00
9.200000000000000278e-04 1.194176277513575890e+01 1.000000000000000000e+00
9.300000000000000541e-04 1.194176277437895628e+01 1.000000000000000000e+00
9.400000000000000803e-04 1.194176277363161098e+01 1.000000000000000000e+00
9.500000000000001065e-04 1.194176277289388466e+01 1.000000000000000000e+00
9.600000000000001327e-04 1.194176277216593896e+01 9.999999999999998890e-01
9.700000000000000505e-04 1.194176277144792842e+01 1.000000000000000000e+00
9.800000000000001852e-04 1.194176277074000581e+01 1.000000000000000000e+00
9.899999999999999946e-04 1.194176277004232567e+01 1.000000000000000000e+00
1.000000000000000021e-03 1.194176276935503012e+01 1.000000000000000000e+00
