z_m c_kg_per_m3 X_kg_per_kg
6.199999999999999956e-01 6.961277398683354649e-03 3.243571050804958805e-02
6.300000000000000044e-01 6.922359808458819312e-03 3.221954714832021838e-02
6.400000000000000133e-01 6.880309107186864670e-03 3.198736024461222571e-02
6.500000000000000222e-01 6.835019953964267293e-03 3.173874923293223960e-02
6.600000000000000311e-01 6.786397129622609090e-03 3.147337392827434521e-02
6.700000000000000400e-01 6.734356635912620674e-03 3.119095906897784154e-02
6.800000000000000488e-01 6.678826720535545845e-03 3.089129835818896219e-02
6.900000000000000577e-01 6.619748814920175563e-03 3.057425795043465164e-02
7.000000000000000666e-01 6.557078372768396050e-03 3.023977933885641650e-02
7.099999999999999645e-01 6.490785598697231332e-03 2.988788160679676370e-02
7.199999999999999734e-01 6.420856057765104291e-03 2.951866301602421722e-02
7.299999999999999822e-01 6.347291158256212519e-03 2.913230191276608427e-02
7.399999999999999911e-01 6.270108501779578757e-03 2.872905694173133115e-02
7.500000000000000000e-01 6.189342096487377570e-03 2.830926656729326057e-02
7.600000000000000089e-01 6.105042430999851888e-03 2.787334790981298160e-02
7.700000000000000178e-01 6.017276408410349164e-03 2.742179491357939203e-02
7.800000000000000266e-01 5.926127141504545712e-03 2.695517587089028139e-02
7.900000000000000355e-01 5.831693612034397761e-03 2.647413033428660037e-02
8.000000000000000444e-01 5.734090198513879660e-03 2.597936545577759007e-02
8.100000000000000533e-01 5.633446078526636001e-03 2.547165179797388282e-02
8.200000000000000622e-01 5.529904512934728962e-03 2.495181866731220957e-02
8.300000000000000711e-01 5.423622020634773742e-03 2.442074902395919428e-02
8.399999999999999689e-01 5.314767453609063261e-03 2.387937402649075586e-02
8.499999999999999778e-01 5.203520982953484773e-03 2.332866727204267049e-02
8.599999999999999867e-01 5.090073007323643942e-03 2.276963879431835244e-02
8.699999999999999956e-01 4.974622995821560353e-03 2.220332888263749568e-02
8.800000000000000044e-01 4.857378277746246011e-03 2.163080178514542595e-02
8.900000000000000133e-01 4.738552791854900269e-03 2.105313935841984785e-02
9.000000000000000222e-01 4.618365807831740881e-03 2.047143472406387846e-02
9.100000000000000311e-01 4.497040632546551488e-03 1.988678599052445817e-02
9.200000000000000400e-01 4.374803313413713410e-03 1.930029009539301760e-02
9.300000000000000488e-01 4.251881350742910300e-03 1.871303681988472495e-02
9.400000000000000577e-01 4.128502430375016914e-03 1.812610302290307979e-02
9.500000000000000666e-01 4.004893186685654603e-03 1.754054713466038709e-02
9.599999999999999645e-01 3.881277999550635655e-03 1.695740391271072928e-02
9.699999999999999734e-01 3.757877769105022036e-03 1.637767911565768050e-02
9.799999999999999822e-01 3.634908014542417680e-03 1.580234015867498440e-02
9.899999999999999911e-01 3.512569719172536301e-03 1.523226173506269515e-02
1.000000000000000000e+00 3.390969073887564224e-03 1.466770770598977564e-02
