t_s z_m c_kg_per_m3 X_kg_per_kg
0.000000000000000000e+00 4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.600000000000000200e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.700000000000000289e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.799999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.100000000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.200000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.300000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.400000000000000355e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.600000000000000533e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.700000000000000622e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.799999999999999600e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.899999999999999689e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.099999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.199999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.300000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.400000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.600000000000000311e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.700000000000000400e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.800000000000000488e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.900000000000000577e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.000000000000000666e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.099999999999999645e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.199999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.299999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.399999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.600000000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.700000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.800000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.900000000000000355e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.100000000000000533e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.200000000000000622e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.300000000000000711e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.399999999999999689e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.800000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.100000000000000311e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.200000000000000400e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.300000000000000488e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000577e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.500000000000000666e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.599999999999999645e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.799999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.518796992481202324e+01 0.000000000000000000e+00 7.300000000000000065e-03 0.000000000000000000e+00
7.518796992481202324e+01 1.000000000000000021e-02 5.276218290338181502e-03 2.452586479405940816e-03
7.518796992481202324e+01 2.000000000000000042e-02 3.847851909086058824e-03 1.726203598903882155e-03
7.518796992481202324e+01 2.999999999999999889e-02 2.837089125154327110e-03 1.216076720145941974e-03
7.518796992481202324e+01 4.000000000000000083e-02 2.118898466306373858e-03 8.580370695083088016e-04
7.518796992481202324e+01 5.000000000000000278e-02 1.605502791561652350e-03 6.069244221504680164e-04
7.518796992481202324e+01 5.999999999999999778e-02 1.235455472582506218e-03 4.309276044318700633e-04
7.518796992481202324e+01 7.000000000000000666e-02 9.659134799402394533e-04 3.076190887920342417e-04
7.518796992481202324e+01 8.000000000000000167e-02 7.671327319925567512e-04 2.211839536407272987e-04
7.518796992481202324e+01 8.999999999999999667e-02 6.185276861690623337e-04 1.604842876260174759e-04
7.518796992481202324e+01 1.000000000000000056e-01 5.058565460038129662e-04 1.177010508001986053e-04
7.518796992481202324e+01 1.100000000000000006e-01 4.192316673226679342e-04 8.737200130098551323e-05
7.518796992481202324e+01 1.199999999999999956e-01 3.517362369479257525e-04 6.570294787977303322e-05
7.518796992481202324e+01 1.300000000000000044e-01 2.984790621811661267e-04 5.007179046940598438e-05
7.518796992481202324e+01 1.400000000000000133e-01 2.559572052800089363e-04 3.867226036886167571e-05
7.518796992481202324e+01 1.499999999999999944e-01 2.216286367957444987e-04 3.026062134546324850e-05
7.518796992481202324e+01 1.600000000000000033e-01 1.936249274066209689e-04 2.397820410922167086e-05
7.518796992481202324e+01 1.700000000000000122e-01 1.705562462360965743e-04 1.922893159641259788e-05
7.518796992481202324e+01 1.799999999999999933e-01 1.513772392212502148e-04 1.559581917843494691e-05
7.518796992481202324e+01 1.900000000000000022e-01 1.352934610303971341e-04 1.278447171113782214e-05
7.518796992481202324e+01 2.000000000000000111e-01 1.216952202697568541e-04 1.058494176993833577e-05
7.518796992481202324e+01 2.099999999999999922e-01 1.101102433307483064e-04 8.845932155004776574e-06
7.518796992481202324e+01 2.200000000000000011e-01 1.001694387866028596e-04 7.457256821165385423e-06
7.518796992481202324e+01 2.300000000000000100e-01 9.158189271187434227e-05 6.337829337113240389e-06
7.518796992481202324e+01 2.399999999999999911e-01 8.411643748568733102e-05 5.427366630488537460e-06
7.518796992481202324e+01 2.500000000000000000e-01 7.758794667529178807e-05 4.680606297177494056e-06
7.518796992481202324e+01 2.600000000000000089e-01 7.184705823991086461e-05 4.063237865818221060e-06
7.518796992481202324e+01 2.700000000000000178e-01 6.677240584819263522e-05 3.549012822991043325e-06
7.518796992481202324e+01 2.800000000000000266e-01 6.226470012646706769e-05 3.117672564158431399e-06
7.518796992481202324e+01 2.899999999999999800e-01 5.824218516988365378e-05 2.753449028075146801e-06
7.518796992481202324e+01 2.999999999999999889e-01 5.463712527003766192e-05 2.443969925369084739e-06
7.518796992481202324e+01 3.099999999999999978e-01 5.139306910585932781e-05 2.179452358639905679e-06
7.518796992481202324e+01 3.200000000000000067e-01 4.846270486853953760e-05 1.952103805762313614e-06
7.518796992481202324e+01 3.300000000000000155e-01 4.580616766584437178e-05 1.755673479326701473e-06
7.518796992481202324e+01 3.400000000000000244e-01 4.338969541269885522e-05 1.585113643560975009e-06
