z_m c_kg_per_m3 X_kg_per_kg
6.700000000000000400e-01 3.474754593200828339e-03 2.211665875214207863e-02
6.800000000000000488e-01 3.327146040426768279e-03 2.109860528017617684e-02
6.900000000000000577e-01 3.181428580550221211e-03 2.009949694196744990e-02
7.000000000000000666e-01 3.037922411320790120e-03 1.912125554557938395e-02
7.099999999999999645e-01 2.896925275810240379e-03 1.816562077499467298e-02
7.199999999999999734e-01 2.758711343774924388e-03 1.723414712559134115e-02
7.299999999999999822e-01 2.623530383274997897e-03 1.632820279139248279e-02
7.399999999999999911e-01 2.491607212551054731e-03 1.544897037431745487e-02
7.500000000000000000e-01 2.363141419042869007e-03 1.459744927131545293e-02
7.600000000000000089e-01 2.238307329802138000e-03 1.377445958452744312e-02
7.700000000000000178e-01 2.117254215401915760e-03 1.298064739232234963e-02
7.800000000000000266e-01 2.000106707770210688e-03 1.221649121496186201e-02
7.900000000000000355e-01 1.886965411156400806e-03 1.148230950750374173e-02
8.000000000000000444e-01 1.777907684651950379e-03 1.077826901406448400e-02
8.100000000000000533e-01 1.672988574301027560e-03 1.010439382142207243e-02
8.200000000000000622e-01 1.572241872817455076e-03 9.460574955830193880e-03
8.300000000000000711e-01 1.475681285234133793e-03 8.846580374518677944e-03
8.399999999999999689e-01 1.383301679410101070e-03 8.262065212357554145e-03
8.499999999999999778e-01 1.295080401168066317e-03 7.706582154261643405e-03
8.599999999999999867e-01 1.210978634891179918e-03 7.179591814822492389e-03
8.699999999999999956e-01 1.130942791632271252e-03 6.680473018107497413e-03
8.800000000000000044e-01 1.054905908143703762e-03 6.208532882317567211e-03
8.900000000000000133e-01 9.827890416854261329e-04 5.763016625823824332e-03
9.000000000000000222e-01 9.145026469792413197e-04 5.343117022815727264e-03
9.100000000000000311e-01 8.499479232182670114e-04 4.947983448218200818e-03
9.200000000000000400e-01 7.890181205842666931e-04 4.576730462528937234e-03
9.300000000000000488e-01 7.315997972448783906e-04 4.228445897652910283e-03
9.400000000000000577e-01 6.775740192408130592e-04 3.902198414359003224e-03
9.500000000000000666e-01 6.268174965809908449e-04 3.597044507976902058e-03
9.599999999999999645e-01 5.792036440654144223e-04 3.312034909997910951e-03
9.699999999999999734e-01 5.346034831755010512e-04 3.046219892843697163e-03
9.799999999999999822e-01 4.928854264595683779e-04 2.798647619351121198e-03
9.899999999999999911e-01 4.539025560879973243e-04 2.568285363707936610e-03
1.000000000000000000e+00 4.173320599916443240e-04 2.353024784429181768e-03
